,,,6/10,1:00,,,2:00,,,3:00,,,,9:00,,,10:00,,,11:00,,,12:00,,,13:00,,,14:00,,,15:00,,,16:00,,,17:00,,,18:00,,,19:00,,,20:00,,,21:00,,,22:00,,,23:00,,6/11,,0:00,,,1:00,,2:00,,3:00,
區域,租賃站點查詢,車柱數量,,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,變動量,可借車輛,可停空位,變動量,可借車輛,可停空位,,,,
中正區,臺北自來水事業處,20,,11,9,0,11,9,0,11,9,,-10,1,19,-1,0,20,0,0,20,0,0,20,2,2,18,-1,1,19,-1,0,20,2,2,18,4,6,14,-1,5,15,2,7,13,-1,6,14,6,12,8,1,13,7,0,13,7,,0,13,7,-1,12,8,,,,
中正區,汀州思源街口東南側,20,,4,16,0,4,16,0,4,16,,-4,0,20,0,0,20,0,0,20,0,0,20,1,1,19,-1,0,20,1,1,19,1,2,18,0,2,18,-1,1,19,-1,0,20,4,4,16,-1,3,17,4,7,13,0,7,13,,1,8,12,0,8,12,,,,
中正區,捷運公館站(1號出口),12,,0,12,0,0,12,0,0,12,,0,0,12,0,0,12,0,0,12,1,1,11,0,1,11,-1,0,12,1,1,11,-1,0,12,2,2,10,3,5,7,-4,1,11,4,5,7,1,6,6,0,6,6,0,6,6,,-2,4,8,0,4,8,,,,
中正區,捷運公館站(4號出口),12,,4,8,-1,3,9,0,3,9,,-3,0,12,0,0,12,1,1,11,1,2,10,-1,1,11,0,1,11,0,1,11,0,1,11,4,5,7,-2,3,9,4,7,5,0,7,5,-3,4,8,5,9,3,1,10,2,,1,11,1,1,12,0,,,,
大安區,和平復興路口西北側,9,,8,1,0,8,1,0,8,1,,-7,1,8,-1,0,9,0,0,9,0,0,9,0,0,9,0,0,9,2,2,7,0,2,7,6,8,1,1,9,0,-7,2,7,3,5,4,4,9,0,-1,8,1,0,8,1,,1,9,0,-3,6,3,,,,
大安區,新生南路三段66號前,20,,0,20,0,0,20,0,0,20,,0,0,20,0,0,20,1,1,19,3,4,16,0,4,16,0,4,16,-3,1,19,0,1,19,0,1,19,1,2,18,13,15,5,-2,13,7,-3,10,10,-8,2,18,0,2,18,,-1,1,19,0,1,19,,,,
大安區,捷運公館站(2號出口),60,,27,19,0,27,19,0,27,19,,-27,0,60,4,4,56,-4,0,60,7,7,53,-6,1,59,-1,0,60,4,4,56,20,24,36,-22,2,45,15,17,23,-9,8,26,-6,2,36,10,12,22,3,15,21,4,19,21,,5,24,17,-7,17,24,,,17,24
大安區,辛亥泰順街口,23,,15,8,0,15,8,0,15,8,,-14,1,22,-1,0,23,0,0,23,1,1,22,-1,0,23,0,0,23,0,0,23,1,1,22,0,1,22,1,2,21,4,6,17,4,10,13,2,12,11,2,14,9,0,14,9,,1,15,8,-7,8,15,,,,
臺大專區,臺大博理館西側,10,,0,10,0,0,10,1,1,9,,9,10,0,-8,2,8,-1,1,9,1,2,8,2,4,6,-4,0,10,5,5,5,-4,1,9,-1,0,10,0,0,10,2,2,8,0,2,8,-2,0,10,0,0,10,0,0,10,,0,0,10,0,0,10,,,,
臺大專區,臺大立體機車停車場,27,,1,26,0,1,26,0,1,26,,8,9,18,-4,5,22,-3,2,25,-1,1,26,1,2,25,-1,1,26,0,1,26,0,1,26,1,2,25,-1,1,26,0,1,26,1,2,25,-1,1,26,0,1,26,0,1,26,,0,1,26,0,1,26,,,,
臺大專區,臺大凝態館南側,20,,0,20,0,0,20,0,0,20,,10,10,10,-10,0,20,1,1,19,-1,0,20,0,0,20,8,8,12,-5,3,17,-2,1,19,-1,0,20,0,0,20,1,1,19,3,4,16,-1,3,17,-3,0,20,0,0,20,,0,0,20,0,0,20,,,,
臺大專區,臺大小福樓東側,20,,0,20,0,0,20,0,0,20,,10,10,7,-1,9,8,2,11,7,-4,7,13,2,9,11,11,20,0,-19,1,19,4,5,15,-4,1,19,1,2,18,-2,0,20,8,8,12,-8,0,20,0,0,20,1,1,19,,-1,0,20,0,0,20,,,,
臺大專區,臺大公館停車場西北側,12,,1,11,0,1,11,1,2,10,,-2,0,12,0,0,12,0,0,12,0,0,12,0,0,12,1,1,11,-1,0,12,0,0,12,0,0,12,0,0,12,1,1,11,0,1,11,-1,0,12,0,0,12,0,0,12,,2,2,10,0,2,10,,,,
臺大專區,臺大總圖書館西南側,30,,0,30,0,0,30,0,0,30,,9,9,21,5,14,16,2,16,14,0,16,14,2,18,12,0,18,12,3,21,9,3,24,6,-21,3,27,-2,1,29,2,3,27,0,3,27,-3,0,30,0,0,30,0,0,30,,0,0,30,0,0,30,,,0,30
臺大專區,臺大新體育館東南側,20,,0,20,0,0,20,0,0,20,,5,5,15,-2,3,17,6,9,11,-9,0,20,1,1,19,11,12,8,-5,7,13,8,15,5,-13,2,18,0,2,18,0,2,18,-2,0,20,0,0,20,0,0,20,0,0,20,,0,0,20,0,0,20,,,,
臺大專區,臺大明達館機車停車場,10,,1,9,0,1,9,1,2,8,,-2,0,10,1,1,9,2,3,7,-3,0,10,1,1,9,-1,0,10,3,3,7,-1,2,8,-1,1,9,1,2,8,-1,1,9,6,7,3,-5,2,8,-1,1,9,-1,0,10,,0,0,10,0,0,10,,,,
